Názov,Autor,Žáner,,Link
Príbeh jedného Nemca,Sebastian Haffner,Biografie,,https://link.michaldudas.com/t3bFa8
Problémový svet,Ben H. Winters,Krimi a detektívky ,Trilery                                                          ,         https://link.michaldudas.com/hQdetW
Proroctvo,Jamie McGuire,Fantasy ,Romány a novely                                                                    ,         https://link.michaldudas.com/lRV7Zo
Prozreteľnosť,Jamie McGuire,Fantasy ,Romány a novely                                                                ,         https://link.michaldudas.com/3ZByRr
Reťazec skazy,Fredrik T. Olsson,Trilery ,                                                                           ,         https://link.michaldudas.com/lTf0FM
Sabotáž,Dani Pettrey,Romány a novely,Krimi a detektívky                                                             ,         https://link.michaldudas.com/Skgags
Sanatórium,Sarah Pearse,Trilery ,Krimi a detektívky                                                                 ,         https://link.michaldudas.com/VxYzI9
Scarlett,Alexandra Ripley,Romány a novely  ,Romantika                                                                       ,         https://link.michaldudas.com/Q7A77Z
Sempre - Navždy,J. M. Darhower,Romantika ,                                                                          ,         https://link.michaldudas.com/2AYIne
Sestřičky,Donna Douglas,,                                                                                           ,         https://link.michaldudas.com/O3gcr3
Sicilčania,Gaetano Savatteri,Romány a novely,                                                                       ,         https://link.michaldudas.com/qSCehR
Skok do neznáma,J. A. Redmerská,Romantika ,                                                                         ,         https://link.michaldudas.com/NQkS3v
Sladké vykúpenie,Jamie McGuire,Romantika ,Romány a novely, https://link.michaldudas.com/xv8L1T
Slnko aj vychádza,Ernest Hemingway,Romány a novely,                                                                 ,         https://link.michaldudas.com/uKr6j2
Som číslo štyri,Pittacus Lore,Fantasy ,                                                                             ,         https://link.michaldudas.com/SU56Zr
Som mama,Kristína Farkašová,Rodina ,                                                                                ,         https://link.michaldudas.com/pfkvk2
Spisy  X - škriatkovia,Charles Grant,Sci-fi ,Trilery                                                                ,         https://link.michaldudas.com/3ukMjg
Spisy X - Epicentrum,Kevin J. Anderson,Sci-fi ,Trilery                                                              ,         https://link.michaldudas.com/UVpV9T
Spisy X - Protilátka,Kevin J. Anderson,Sci-fi ,Trilery                                                              ,         https://link.michaldudas.com/ZmEtTc
Spisy X - Tornádo,Charles Grant,Sci-fi ,Trilery                                                                     ,         https://link.michaldudas.com/7Stxjj
Spomienky na neho,Colleen Hoover,Romány a novely,,https://link.michaldudas.com/KYtkru
Spoveď slobodnej zúfalky,Bryony Gordon,,                                                                            ,         https://link.michaldudas.com/viKFJE
Stále som mama,Kristína Farkašová,Rodina ,                                                                          ,         https://link.michaldudas.com/iUVmIO
Šťastie na šérových ostrovoch,Inga Lindström,,                                                                      ,         https://link.michaldudas.com/stEeHZ
Steve Jobs,Walter Isaacson,Biografie ,Informatika a počítače                                                        ,         https://link.michaldudas.com/gWxEWA
Steve Jobs - môj život- moja láska- moje prekliatie,Chrisann Brennan,Biografie ,Informatika a počítače              ,         https://link.michaldudas.com/2kKPdJ
Stratégie úspešných,Michael A. Cusumano - David B. Yoffie,Informatika a počítače ,                                  ,         https://link.michaldudas.com/PI5Bn0
Stratená,Joy Fielding,,                                                                                             ,         https://link.michaldudas.com/7v6Dgq
Stratená nádej,Colleen Hoover,Romantika ,                                                                           ,         https://link.michaldudas.com/4X9XVx
Stratila sa Anna,Alex Lake,,                                                                                        ,         https://link.michaldudas.com/ctPHux
Studený výstrel,Dani Pettrey,Romány a novely,Krimi a detektívky                                                     ,         https://link.michaldudas.com/tqPGQL
Štyri,Veronica Roth,Fantasy ,Romány a novely                                                                        ,         https://link.michaldudas.com/ImEZ9d
Šum,Anders de la Motte,Krimi a detektívky ,Trilery                                                                  ,         https://link.michaldudas.com/H0lZnX
Súmrak mafie,Václav Pavel Borovička,Romány a novely,                                                                ,         https://link.michaldudas.com/GvoWnv
Tajné misie,Judith Grohmann,Krimi a detektívky,Trilery                                                              ,         https://link.michaldudas.com/SsQv0S
Takto som mohla žiť,Kristin Harmel,Romány a novely,                                                                 ,         https://link.michaldudas.com/CjDiy1
Telo ako posilňovňa pre ženy,Mark Lauren - Joshua Clark,Šport,Hobby a voľný čas                                     ,         https://link.michaldudas.com/61OGUW
Teroristov syn (TED),Zak Ebrahim,Biografia,                                                                         ,         https://link.michaldudas.com/8UawNY
The Mister,E L James,Erotické romány,                                                                               ,         https://link.michaldudas.com/S0lrzW
Tmavá Komora,Jonathan Moore,,                                                                                       ,       https://link.michaldudas.com/TMxmFp
Tradičná KUCHYŇA Moderná,Marcel Ihnačák - Veronika Bušová,Hobby a voľný čas,                                        ,       https://link.michaldudas.com/8n9IYp
Trénujeme na maraton a půlmaraton,David Chalfen,Šport,Hobby a voľný čas                                             ,       https://link.michaldudas.com/s79eOG
Triatlon,Matt Fitzgerald - David Warden,Šport,Hobby a voľný čas                                                     ,       https://link.michaldudas.com/yKf8cb
Trojica,Sarah Lotz,Trilery ,                                                                                        ,       https://link.michaldudas.com/KMkaju
Tvoja nočná mora,Richard Rychtarech,,                                                                               ,       https://link.michaldudas.com/8JXN22
Učiť sa a vyhrávať,John Kavanagh,Šport,Biografie                                                                    ,       https://link.michaldudas.com/mar9Yx
Ultimatum,Anders de la Motte,Krimi a detektívky ,Trilery                                                            ,       https://link.michaldudas.com/twIVve
Ultramaratonec,Charlie Engle,Šport,Hobby a voľný čas ,https://link.michaldudas.com/pW2DRr
Umenie lásky,Jana Mutňanská,Romantika ,                                                                             ,       https://link.michaldudas.com/AjjS0m
Umlčaní,Marek Vagovič,Politika,                                                                                     ,       https://link.michaldudas.com/kDJdFu
Únos,Stefanie Pintoff,Trilery ,                                                                                     ,       https://link.michaldudas.com/CqNoF6
V hlbokej tme,Sean McFate,Politika,Krimi a detektívky                                                               ,       https://link.michaldudas.com/GAphXo
V pasci,Dani Pettrey,Krimi a detektívky ,Romány a novely                                                            ,       https://link.michaldudas.com/Hrz2rq
V podmienke,Jonas T. Bengtsson,Krimi a detektívky ,, https://link.michaldudas.com/1DwzW6
Večná vášeň,Audrey Carlan,Romantika ,                                                                               ,       https://link.michaldudas.com/BiJFZ5
Veľká domáca kuchárka 2,Kolektív autorov,Hobby a voľný čas,                                                         ,       https://link.michaldudas.com/VQXDP1
Veľká európska kuchárka,Pavlína Berzsiová,Hobby a voľný čas,                                                        ,       https://link.michaldudas.com/ftrUHu
Vlastnou hlavou 2,Marek Vagovič,Politika,                                                                           ,       https://link.michaldudas.com/cDS5IY
Všetko príšerné aj krásne,Bryn Greenwood,,                                                                          ,       https://link.michaldudas.com/DkdVvc
Všetky tvoje prednosti,Colleen Hoover,Romány a novely,,                                                                                    https://link.michaldudas.com/YEQze4
Výpověď,Whitney G.,Erotické romány ,                                                                                ,       https://link.michaldudas.com/5lmx3d
Whisky,Autor nezistený,Hobby a voľný čas,                                                                           ,       https://link.michaldudas.com/8fRZRb
Z fitka do kuchyne 2,Lucia Méresová,Šport,Hobby a voľný čas                                                         ,       https://link.michaldudas.com/XQWMWo
Z fitka do kuchyne 3,Kolektív autorov - Lucia Švaral,Šport,Hobby a voľný čas                                        ,       https://link.michaldudas.com/VrJpFh
Začína sa to nami,Colleen Hoover,Romantika ,                                                                        ,       https://link.michaldudas.com/IpT0W6
Život jedna báseň,Colleen Hoover,Romantika ,                                                                        ,       https://link.michaldudas.com/NvW9LX
Zlá krv,Arne Dahl,,                                                                                                 ,       https://link.michaldudas.com/1JYr8B
Zlomená láska,M. J. Summers,Romantika ,                                                                             ,       https://link.michaldudas.com/NGVc7i
Zmiznuté dievčatá,Angela Marsons,,                                                                                  ,       https://link.michaldudas.com/3gXxTr
Zostaň so mnou,Jennifer L. Armentrout,Romantika ,  Romány a novely, https://link.michaldudas.com/H8k7lf
Život bez hranic,Chrissie Wellingtonová,Šport,Biografie,https://link.michaldudas.com/WpP7uq
Žraloci,Michelle Miller,Romány a novely,,https://link.michaldudas.com/ksYdyZ








